IP:PORT, LOSS, DELAY
162.159.192.122:2408,100.00%,1000 ms
162.159.192.120:2408,100.00%,1000 ms
162.159.192.187:1018,100.00%,1000 ms
162.159.192.12:1018,100.00%,1000 ms
162.159.192.120:1018,100.00%,1000 ms
162.159.192.12:2408,100.00%,1000 ms
162.159.192.179:2408,100.00%,1000 ms
162.159.192.134:1018,100.00%,1000 ms
162.159.192.175:1018,100.00%,1000 ms
162.159.192.134:2408,100.00%,1000 ms
162.159.192.122:1018,100.00%,1000 ms
162.159.192.126:2408,100.00%,1000 ms
162.159.192.126:1018,100.00%,1000 ms
162.159.195.61:2408,100.00%,1000 ms
162.159.192.175:2408,100.00%,1000 ms
162.159.192.179:1018,100.00%,1000 ms
162.159.192.187:2408,100.00%,1000 ms
162.159.193.5:2408,100.00%,1000 ms
162.159.193.84:1018,100.00%,1000 ms
162.159.193.79:2408,100.00%,1000 ms
162.159.195.53:2408,100.00%,1000 ms
188.114.97.155:1018,100.00%,1000 ms
188.114.98.200:1018,100.00%,1000 ms
162.159.193.83:1018,100.00%,1000 ms
162.159.195.31:1018,100.00%,1000 ms
162.159.195.28:1018,100.00%,1000 ms
188.114.98.22:1018,100.00%,1000 ms
188.114.98.129:2408,100.00%,1000 ms
162.159.192.47:1018,100.00%,1000 ms
162.159.193.83:2408,100.00%,1000 ms
162.159.195.31:2408,100.00%,1000 ms
162.159.192.41:2408,100.00%,1000 ms
162.159.193.79:1018,100.00%,1000 ms
188.114.98.22:2408,100.00%,1000 ms
162.159.195.28:2408,100.00%,1000 ms
188.114.98.200:2408,100.00%,1000 ms
162.159.193.84:2408,100.00%,1000 ms
162.159.193.143:2408,100.00%,1000 ms
162.159.195.134:1018,100.00%,1000 ms
188.114.98.38:1018,100.00%,1000 ms
188.114.98.78:1018,100.00%,1000 ms
162.159.193.137:2408,100.00%,1000 ms
188.114.97.31:2408,100.00%,1000 ms
188.114.96.91:2408,100.00%,1000 ms
188.114.98.117:2408,100.00%,1000 ms
162.159.195.250:2408,100.00%,1000 ms
188.114.98.73:1018,100.00%,1000 ms
162.159.195.134:2408,100.00%,1000 ms
188.114.99.110:1018,100.00%,1000 ms
162.159.195.219:2408,100.00%,1000 ms
188.114.98.97:1018,100.00%,1000 ms
188.114.98.255:2408,100.00%,1000 ms
162.159.192.191:1018,100.00%,1000 ms
162.159.195.116:2408,100.00%,1000 ms
188.114.97.83:2408,100.00%,1000 ms
162.159.192.87:1018,100.00%,1000 ms
162.159.193.220:2408,100.00%,1000 ms
162.159.192.87:2408,100.00%,1000 ms
188.114.98.69:1018,100.00%,1000 ms
188.114.97.112:1018,100.00%,1000 ms
188.114.97.21:2408,100.00%,1000 ms
162.159.195.217:1018,100.00%,1000 ms
188.114.97.138:2408,100.00%,1000 ms
188.114.98.74:2408,100.00%,1000 ms
162.159.195.217:2408,100.00%,1000 ms
188.114.98.120:2408,100.00%,1000 ms
188.114.96.97:1018,100.00%,1000 ms
188.114.98.129:1018,100.00%,1000 ms
162.159.193.192:2408,100.00%,1000 ms
162.159.195.184:1018,100.00%,1000 ms
162.159.193.113:1018,100.00%,1000 ms
188.114.96.46:2408,100.00%,1000 ms
188.114.98.74:1018,100.00%,1000 ms
188.114.96.215:1018,100.00%,1000 ms
162.159.193.131:2408,100.00%,1000 ms
188.114.99.171:2408,100.00%,1000 ms
188.114.97.255:1018,100.00%,1000 ms
162.159.192.209:1018,100.00%,1000 ms
188.114.96.150:2408,100.00%,1000 ms
188.114.96.186:1018,100.00%,1000 ms
162.159.193.111:2408,100.00%,1000 ms
188.114.97.57:1018,100.00%,1000 ms
188.114.97.195:2408,100.00%,1000 ms
188.114.96.68:2408,100.00%,1000 ms
188.114.97.21:1018,100.00%,1000 ms
188.114.96.215:2408,100.00%,1000 ms
188.114.98.120:1018,100.00%,1000 ms
188.114.96.91:1018,100.00%,1000 ms
188.114.98.69:2408,100.00%,1000 ms
188.114.98.39:1018,100.00%,1000 ms
188.114.96.75:1018,100.00%,1000 ms
188.114.96.46:1018,100.00%,1000 ms
188.114.96.68:1018,100.00%,1000 ms
162.159.195.116:1018,100.00%,1000 ms
188.114.96.255:2408,100.00%,1000 ms
162.159.193.5:1018,100.00%,1000 ms
188.114.99.46:1018,100.00%,1000 ms
188.114.98.39:2408,100.00%,1000 ms
162.159.195.53:1018,100.00%,1000 ms
188.114.96.97:2408,100.00%,1000 ms
188.114.97.143:2408,100.00%,1000 ms
162.159.192.41:1018,100.00%,1000 ms
188.114.97.155:2408,100.00%,1000 ms
162.159.195.17:2408,100.00%,1000 ms
188.114.96.255:1018,100.00%,1000 ms
162.159.195.241:1018,100.00%,1000 ms
188.114.97.112:2408,100.00%,1000 ms
188.114.97.134:2408,100.00%,1000 ms
188.114.97.143:1018,100.00%,1000 ms
162.159.193.120:1018,100.00%,1000 ms
188.114.99.92:2408,100.00%,1000 ms
188.114.98.78:2408,100.00%,1000 ms
188.114.96.150:1018,100.00%,1000 ms
162.159.193.220:1018,100.00%,1000 ms
188.114.96.84:2408,100.00%,1000 ms
162.159.193.113:2408,100.00%,1000 ms
162.159.193.173:1018,100.00%,1000 ms
162.159.193.111:1018,100.00%,1000 ms
188.114.97.14:1018,100.00%,1000 ms
162.159.193.21:1018,100.00%,1000 ms
188.114.97.25:2408,100.00%,1000 ms
188.114.96.84:1018,100.00%,1000 ms
188.114.99.236:1018,100.00%,1000 ms
188.114.99.29:1018,100.00%,1000 ms
188.114.97.25:1018,100.00%,1000 ms
162.159.195.176:1018,100.00%,1000 ms
162.159.195.61:1018,100.00%,1000 ms
162.159.193.131:1018,100.00%,1000 ms
188.114.99.100:2408,100.00%,1000 ms
162.159.193.21:2408,100.00%,1000 ms
188.114.97.57:2408,100.00%,1000 ms
188.114.97.134:1018,100.00%,1000 ms
188.114.97.14:2408,100.00%,1000 ms
188.114.99.29:2408,100.00%,1000 ms
188.114.99.123:1018,100.00%,1000 ms
188.114.99.162:1018,100.00%,1000 ms
188.114.96.128:2408,100.00%,1000 ms
188.114.97.83:1018,100.00%,1000 ms
162.159.195.184:2408,100.00%,1000 ms
188.114.97.255:2408,100.00%,1000 ms
162.159.193.151:1018,100.00%,1000 ms
188.114.96.186:2408,100.00%,1000 ms
162.159.195.250:1018,100.00%,1000 ms
162.159.192.191:2408,100.00%,1000 ms
188.114.97.247:1018,100.00%,1000 ms
188.114.98.255:1018,100.00%,1000 ms
188.114.99.147:2408,100.00%,1000 ms
162.159.192.209:2408,100.00%,1000 ms
188.114.99.142:2408,100.00%,1000 ms
162.159.195.123:2408,100.00%,1000 ms
162.159.193.137:1018,100.00%,1000 ms
188.114.96.75:2408,100.00%,1000 ms
188.114.99.212:1018,100.00%,1000 ms
188.114.99.89:2408,100.00%,1000 ms
162.159.195.219:1018,100.00%,1000 ms
162.159.192.74:1018,100.00%,1000 ms
188.114.98.47:2408,100.00%,1000 ms
188.114.96.163:1018,100.00%,1000 ms
188.114.98.97:2408,100.00%,1000 ms
188.114.96.163:2408,100.00%,1000 ms
162.159.192.74:2408,100.00%,1000 ms
188.114.99.236:2408,100.00%,1000 ms
188.114.99.100:1018,100.00%,1000 ms
188.114.97.247:2408,100.00%,1000 ms
188.114.98.73:2408,100.00%,1000 ms
188.114.98.38:2408,100.00%,1000 ms
162.159.192.47:2408,100.00%,1000 ms
162.159.195.176:2408,100.00%,1000 ms
162.159.193.192:1018,100.00%,1000 ms
188.114.99.142:1018,100.00%,1000 ms
162.159.195.17:1018,100.00%,1000 ms
162.159.195.241:2408,100.00%,1000 ms
188.114.99.110:2408,100.00%,1000 ms
188.114.99.202:1018,100.00%,1000 ms
162.159.193.173:2408,100.00%,1000 ms
188.114.99.123:2408,100.00%,1000 ms
188.114.97.138:1018,100.00%,1000 ms
188.114.99.147:1018,100.00%,1000 ms
188.114.97.31:1018,100.00%,1000 ms
188.114.99.162:2408,100.00%,1000 ms
188.114.97.65:2408,100.00%,1000 ms
188.114.99.202:2408,100.00%,1000 ms
162.159.193.143:1018,100.00%,1000 ms
188.114.96.209:1018,100.00%,1000 ms
188.114.99.89:1018,100.00%,1000 ms
188.114.97.65:1018,100.00%,1000 ms
162.159.192.206:2408,100.00%,1000 ms
188.114.99.171:1018,100.00%,1000 ms
188.114.99.212:2408,100.00%,1000 ms
188.114.99.46:2408,100.00%,1000 ms
188.114.96.128:1018,100.00%,1000 ms
188.114.98.117:1018,100.00%,1000 ms
188.114.98.47:1018,100.00%,1000 ms
162.159.193.151:2408,100.00%,1000 ms
188.114.99.92:1018,100.00%,1000 ms
162.159.192.206:1018,100.00%,1000 ms
162.159.193.120:2408,100.00%,1000 ms
188.114.97.195:1018,100.00%,1000 ms
162.159.195.123:1018,100.00%,1000 ms
188.114.96.209:2408,100.00%,1000 ms
